accession,body_site,table_id,version,n_samples,n_taxa,status,ts
MGYS00005143,oral,SRP126946_taxonomy_abundances_SSU_v4.1.tsv,4.1,7402,3588,ok,2026-08-22T19:12:09
MGYS00005142,stool,,,0,0,download_failed,2026-08-22T19:12:17
MGYS00001679,stool,ERP015317_taxonomy_abundances_v3.0.tsv,3.0,3288,1241,ok,2026-08-22T19:12:38
MGYS00005138,respiratory,SRP056779_taxonomy_abundances_SSU_v4.1.tsv,4.1,3027,2780,ok,2026-08-22T19:12:39
MGYS00000604,skin,SRP002480_taxonomy_abundances_v2.0.tsv,2.0,4385,2740,ok,2026-08-22T19:13:12
MGYS00005196,urogenital,SRP115697_taxonomy_abundances_SSU_v4.1.tsv,4.1,2367,1855,ok,2026-08-22T19:13:20
MGYS00002355,oral,,,0,0,no_ssu_table,2026-08-22T19:13:21
MGYS00006551,stool,ERP152745_taxonomy_abundances_SSU_v5.0.tsv,5.0,2048,1048,ok,2026-08-22T19:13:23
MGYS00005190,stool,SRP136041_taxonomy_abundances_SSU_v4.1.tsv,4.1,17,532,ok,2026-08-22T19:13:39
MGYS00001070,urogenital,SRP026107_taxonomy_abundances_SSU_v4.1.tsv,4.1,1980,616,ok,2026-08-22T19:13:40
MGYS00005142,stool,,,0,0,download_failed,2026-08-22T19:14:33
MGYS00002355,oral,,,0,0,no_ssu_table,2026-08-22T19:14:55
MGYS00005147,stool,,,0,0,no_ssu_table,2026-08-22T19:14:55
MGYS00005222,urogenital,SRP159872_taxonomy_abundances_SSU_v4.1.tsv,4.1,1882,1778,ok,2026-08-22T19:14:55
MGYS00005192,stool,SRP119890_taxonomy_abundances_SSU_v4.1.tsv,4.1,1816,3515,ok,2026-08-22T19:15:13
MGYS00005199,urogenital,SRP156089_taxonomy_abundances_SSU_v4.1.tsv,4.1,1576,2068,ok,2026-08-22T19:15:40
MGYS00005142,stool,,,0,0,download_failed,2026-08-22T19:16:08
MGYS00002355,oral,,,0,0,no_ssu_table,2026-08-22T19:16:29
MGYS00005147,stool,,,0,0,no_ssu_table,2026-08-22T19:16:30
MGYS00005162,respiratory,SRP090592_taxonomy_abundances_SSU_v4.1.tsv,4.1,1222,2241,ok,2026-08-22T19:16:30
MGYS00000633,stool,SRP001634_taxonomy_abundances_SSU_v5.0.tsv,5.0,1073,1023,ok,2026-08-22T19:16:42
MGYS00005184,stool,ERP016515_taxonomy_abundances_SSU_v4.1.tsv,4.1,1557,1672,ok,2026-08-22T19:17:10
MGYS00005142,stool,,,0,0,download_failed,2026-08-22T19:17:32
MGYS00002355,oral,,,0,0,no_ssu_table,2026-08-22T19:17:54
MGYS00005147,stool,,,0,0,no_ssu_table,2026-08-22T19:17:54
MGYS00005191,stool,SRP125127_taxonomy_abundances_SSU_v4.1.tsv,4.1,1537,1449,ok,2026-08-22T19:17:54
MGYS00005172,skin,SRP113602_taxonomy_abundances_SSU_v4.1.tsv,4.1,1481,5013,ok,2026-08-22T19:18:11
MGYS00005224,respiratory,SRP163504_taxonomy_abundances_SSU_v4.1.tsv,4.1,1422,2273,ok,2026-08-22T19:18:35
MGYS00005173,stool,SRP124475_taxonomy_abundances_SSU_v4.1.tsv,4.1,1382,2234,ok,2026-08-22T19:18:37
MGYS00006638,respiratory,SRP351807_taxonomy_abundances_SSU_v5.0.tsv,5.0,1369,1533,ok,2026-08-22T19:18:47
MGYS00005197,oral,SRP128931_taxonomy_abundances_SSU_v4.1.tsv,4.1,1319,3250,ok,2026-08-22T19:18:55
MGYS00003733,stool,SRP096283_taxonomy_abundances_SSU_v4.1.tsv,4.1,2210,2751,ok,2026-08-22T19:19:11
MGYS00005225,stool,SRP165757_taxonomy_abundances_SSU_v4.1.tsv,4.1,1207,2560,ok,2026-08-22T19:19:35
MGYS00005128,stool,ERP117839_taxonomy_abundances_SSU_v4.1.tsv,4.1,1197,1959,ok,2026-08-22T19:19:37
MGYS00005202,stool,ERP111526_taxonomy_abundances_SSU_v5.0.tsv,5.0,1172,2281,ok,2026-08-22T19:19:47
MGYS00003481,stool,ERP108957_taxonomy_abundances_SSU_v4.1.tsv,4.1,2179,394,ok,2026-08-22T19:19:55
MGYS00005195,stool,SRP042023_taxonomy_abundances_SSU_v4.1.tsv,4.1,1049,1105,ok,2026-08-22T19:20:10
MGYS00003715,stool,ERP107577_taxonomy_abundances_SSU_v4.1.tsv,4.1,1004,3062,ok,2026-08-22T19:20:34
