sample_id,study_accession,body_site,modality,source,pipeline
MGYS00000304:ERS149129_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149129_G,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149130_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149130_G,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149131_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149131_G,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149132_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149132_G,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149133_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149133_G,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149134_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149134_G,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149135_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149135_T,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149136_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149136_T,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149137_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149137_T,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149138_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149138_T,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149139_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149139_T,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149140_A,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000304:ERS149140_T,MGYS00000304,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695598,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695599,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695600,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695601,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695602,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695603,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695604,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695605,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695606,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695607,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695608,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695609,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695610,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695611,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695612,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695613,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695614,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695615,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695616,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695617,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695618,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695619,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695620,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695621,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695622,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695623,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695624,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000465:ERR695625,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
