accession,secondary_accession,bioproject,study_name,body_sites,samples_count,biome_lineages,centre_name,last_update
MGYS00005143,SRP126946,PRJNA362643,Distinct spatial patterns of bacterial diversity shaped by salivary flow on tooth surfaces in humans,oral,7403,root:Host-associated:Human:Digestive system:Oral,Stanford University,2019-12-13T16:44:55
MGYS00005142,ERP013105,PRJEB11697,Characterizing postnatal co-development of the gut microbiota and mucosal IgA responses in healthy twin pairs and a gnotobiotic mouse model,gut,4357,root:Host-associated:Human:Digestive system:Large intestine:Fecal,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2019-12-07T07:43:23
MGYS00001679,ERP015317,PRJEB13747,Genetic determinants of the gut microbiome in the TwinsUK cohort,gut,3288,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CORNELL,2017-04-06T11:26:58
MGYS00005138,SRP056779,PRJNA275918,Infant nasopharyngeal bacteria microbiome,respiratory,3028,root:Host-associated:Human:Respiratory system:Nasopharyngeal,University of Melbourne,2019-12-02T05:04:34
MGYS00000604,SRP002480,PRJNA46333,Gene-Environment Interactions at the Skin Surface,skin,2758,root:Host-associated:Human:Skin,NIAMS,2016-02-03T11:24:47
MGYS00005196,SRP115697,PRJNA393472,Replication and Refinement of a Vaginal Microbial Signature of Preterm Birth,urogenital,2367,root:Host-associated:Human:Reproductive system:Vagina,Stanford University School of Medicine,2020-04-12T15:53:05
MGYS00002355,DRP003041,PRJDB4107,Population-based study on salivary microbiome of Japanese adults,oral,2344,root:Host-associated:Human:Digestive system:Oral:Saliva,KYUSHU,2018-04-26T09:01:59
MGYS00006551,ERP152745,PRJEB67738,EMG produced TPA metagenomics assembly of PRJEB62473 data set (The INTEGRATE project).,gut,2048,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-04-07T17:10:01
MGYS00005190,SRP136041,PRJNA396815,An optimized model for screening colorectal cancer established using large-scale experimental sequence-based faecal microbial community data,gut,1993,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Hangzhou Guhe Information and Technology Company,2020-02-18T13:08:42
MGYS00001070,SRP026107,PRJNA208535,The daily dynamics of the vaginal microbiota before and after bacterial vaginosis,urogenital,1980,root:Host-associated:Human:Reproductive system:Vagina,University of Maryland Institue for Genome Sciences,2022-03-18T00:48:43
MGYS00005147,ERP004898,PRJEB5482,Persistent gut microbiota immaturity in malnourished Bangladeshi children,gut,1955,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CGS-GL,2019-12-10T16:56:13
MGYS00005222,SRP159872,PRJNA489669,Ultra-high throughput multiplexing and sequencing of long amplicon regions on the Illumina HiSeq 2500 platform,urogenital,1882,root:Host-associated:Human:Reproductive system:Vagina,"Institute for Genome Sciences, University of Maryland Baltimore",2020-04-21T13:59:59
MGYS00005192,SRP119890,PRJNA414072,Human faecal 16S Raw sequence reads,gut,1816,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University College Cork,2020-04-26T13:04:47
MGYS00005199,SRP156089,PRJNA481576,16S rRNA gene amplicon sequencing of endometrial cancer-associated bacteria,urogenital,1576,root:Host-associated:Human:Reproductive system:Female,Mayo Clinic,2020-04-20T13:58:22
MGYS00005162,SRP090592,PRJNA340273,Infant airway microbiome Raw sequence reads,respiratory,1570,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx,University of Copenhagen,2020-02-10T10:53:18
MGYS00000633,SRP001634,PRJNA63661,Microbial composition of samples from infant gut,gut,1563,root:Host-associated:Human:Digestive system:Large intestine,Broad Institute,2024-05-08T04:11:27
